Iteracoes,Aproximacao_PI,PI_Real,Erro_Absoluto,Tempo_ms,Precisao,Digitos_Corretos
35600,3.1415645637,3.141592653589793,0.0000280899,0.000,100.00,4
35700,3.1415646424,3.141592653589793,0.0000280112,0.000,100.00,4
35800,3.1415647206,3.141592653589793,0.0000279330,0.000,100.00,4
35900,3.1415647984,3.141592653589793,0.0000278552,0.000,100.00,4
36000,3.1415648758,3.141592653589793,0.0000277778,0.000,100.00,4
36100,3.1415649528,3.141592653589793,0.0000277008,0.000,100.00,4
36200,3.1415650293,3.141592653589793,0.0000276243,0.000,100.00,4
36300,3.1415651054,3.141592653589793,0.0000275482,0.000,100.00,4
36400,3.1415651811,3.141592653589793,0.0000274725,0.000,100.00,4
36500,3.1415652563,3.141592653589793,0.0000273973,1.875,100.00,4
36600,3.1415653312,3.141592653589793,0.0000273224,0.000,100.00,4
36700,3.1415654056,3.141592653589793,0.0000272480,0.000,100.00,4
36800,3.1415654797,3.141592653589793,0.0000271739,0.000,100.00,4
36900,3.1415655533,3.141592653589793,0.0000271003,0.000,100.00,4
37000,3.1415656266,3.141592653589793,0.0000270270,0.000,100.00,4
37100,3.1415656994,3.141592653589793,0.0000269542,0.000,100.00,4
37200,3.1415657719,3.141592653589793,0.0000268817,0.000,100.00,4
37300,3.1415658439,3.141592653589793,0.0000268097,0.000,100.00,4
37400,3.1415659156,3.141592653589793,0.0000267380,0.000,100.00,4
37500,3.1415659869,3.141592653589793,0.0000266667,0.000,100.00,4
37600,3.1415660578,3.141592653589793,0.0000265957,0.000,100.00,4
37700,3.1415661284,3.141592653589793,0.0000265252,0.000,100.00,4
37800,3.1415661986,3.141592653589793,0.0000264550,0.000,100.00,4
37900,3.1415662684,3.141592653589793,0.0000263852,0.000,100.00,4
38000,3.1415663378,3.141592653589793,0.0000263158,0.000,100.00,4
38100,3.1415664069,3.141592653589793,0.0000262467,0.000,100.00,4
38200,3.1415664756,3.141592653589793,0.0000261780,0.000,100.00,4
38300,3.1415665439,3.141592653589793,0.0000261097,0.000,100.00,4
38400,3.1415666119,3.141592653589793,0.0000260417,0.000,100.00,4
38500,3.1415666796,3.141592653589793,0.0000259740,0.000,100.00,4
38600,3.1415667469,3.141592653589793,0.0000259067,0.000,100.00,4
38700,3.1415668138,3.141592653589793,0.0000258398,0.000,100.00,4
38800,3.1415668804,3.141592653589793,0.0000257732,0.000,100.00,4
38900,3.1415669466,3.141592653589793,0.0000257069,0.000,100.00,4
39000,3.1415670126,3.141592653589793,0.0000256410,0.000,100.00,4
39100,3.1415670781,3.141592653589793,0.0000255754,9.953,100.00,4
39200,3.1415671434,3.141592653589793,0.0000255102,0.000,100.00,4
